question,answer
"1.现在普遍认为塑料浮标针对传统的钢制浮标有着几大优点：重量轻.抗腐蚀以及在普遍情况下成本低。 然而，IALA认为，这些显而易见的优势，还需要非常仔细地评估后才能得出。（ ）
",1
"2.塑料浮标与传统的钢质浮标相比具有重量轻及耐腐蚀的优点，且造价低廉，因此可以全面替代传统的钢质浮标。( )
",0
"3.在一般环境条件下，一个塑料浮标外表的可接受磨损时间为10年左右，而热带地区高强度的紫外线会加速其老化。（ ）
",1
"4.关于节奏光有效光强的计算，IALA只建议了二种方法，分别是Schmidt-Clausen法和Allard法。（ ）   
",0
"5.航标预防性维护是指为了保证设备无故障连续运行，在设备元件或模块故障前进行更换或维修。( )
",1
"6.风险也有时间性，应该认识到风险管理过程是循环的，任何时候都可以回到以前的步骤。（ ）
",1
"7.IALA认为如果航标当局将培训需求外包出去，则缔约方应在培训课程开课前2个月，向航标当局提交一份基于已认可的课程目标的培训课程提纲的建议。（ ）
",0
"8.性能指标用于度量、分析和监测航标系统网络和具体系统及设备的性能。（ ）
",1
"9.根据IALA海上浮标系统，水下的障碍物，会给水面航行的船舶造成灾难，或有另外的要求，应被充分标示出来。（ ）
",1
"10.国际航标协会指南就特定专题的某一方面提供了详细的深层次信息，提供备选方案、最佳做法和实施建议。（ ）
",1
"11.SOLAS各缔约国政府在其认为可行和必要时，根据交通量和危险程度的需要，单独提供助航服务时应尽可能减少与其他缔约国政府合作。（ ）
",0
"12.VTS的目的是提高航运安全和航运效率，保证海上生命安全，保护海洋环境和海岸水域，在某一指定区域保护水上设施免受海上交通的不利影响。（ ）
",1
"13.在国际海域或国际海峡的离岸型VTS常和要受保护的项目有关，这意味着可以向公约国的航行船舶多收费用。（ ）
",0
"14.IALA指出桥梁的最佳通过点用一个红白相间横条的圆形标牌标示。（ ）
",0
"15.IALA指南中要求桥梁标志的标牌颜色与桥梁建筑物颜色之间要有明显的反差。（ ）
",1
"16.风险指不期望事件的发生概率，不期望事件包括：对人员、财产或者环境的剥夺、损失或伤害。（ ）
",1
"17.风险管理是单向的，无法回到以前的步骤。（ ）
",0
"18.国际航标协会建议是国际航标协会的最高层次的文件。（ ）
",1
"19.国际的研究表明，航行于沿海航行区的商船，其最低航行要求是导航系统能提供0.5nm的定位准确度和最大为30min的定位时间间隔。（ ）
",0
"20.国际海道测量组织（IHO）是最主要的负责海图事宜的国际组织。（ ）
",1
"21.在海区和内河航道的交汇处，航标管理部门应确保桥梁的标志与内河航道系统的标志和信号不发生矛盾。（ ）
",1
"22.在很深的水域，对浮动标志来说链式锚系过重，需在系泊锚链上增加额外的浮力。在这种情况下用钢丝绳或尼龙绳，或者这些材料结合使用会更合适。（ ）
",1
"23.浮标锚链的总长通常在1.5到5倍水深之间变化，在水深不超过50米的开阔海面上，长度通常是水深的3倍。（ ）
",1
"24.锚链通常能用1－5年，在多泥的条件下可能长到20年。（ ）
",1
"25.在多数地方，灯塔的正确接地设备是非常必要的，以使人员面临的危险和对建筑物的破坏程度减到最低。（ ）
",1
"26.所有无线电通信天线和馈电线缆屏蔽都必须在天线而不是在建筑的入口处和避雷系统相连。（ ）
",1
"27.海上建筑物根据节省用电的原则，在无人工作的前提下，可以熄灭所有灯光。（ ）
",0
"28.如果电网交流电无法利用、不可靠或成本太高，太阳能电源将是首选。（ ）
",1
"30.雷达应答器的应答响应时间通常不超过0.7μs。（ ）
",1
"31.为防止雷达内设电路拒收雷达应答器信号，雷达应答器的“开”周期应不少于12秒。（ ）
",0
"32.设置于海图未标识的临时建筑物上的雷达应答器，其编码应使用莫尔斯码“U”。（ ）
",0
"33.雷达应答器的作用范围可以通过改变它的有效灵敏度或有效发射功率来增加或减少。（ ）
",1
"34.等间隔点可以作为雷达应答器识别码。（ ）
",0
"35.所有雷康都是经定时程序设置的，并每分钟仅仅只有15秒的时间内处于应答状态。（ ）
",0
"36.灯塔通常是位于临近海岸线的陆上或者在水中的显著建筑物（视觉标志），可作为日标并且为海上信号灯提供平台，具有高达25海里的射程。（ ）
",1
"37.立标通常是陆上或者水中的小型固定视觉标志，视觉特征常常通过日标牌、顶标和数字来确定。如果安装海上信号灯，其射程一般小于12海里。（ ）
",0
"38.安全水域标可用作航道中线标，不能用作初见陆地标。（ ）
",0
"39.国际浮标制度A区域的左侧标是绿色的。（ ）
",0
"1.专用航标，是指在沿海专用航道、锚地和作业区以及相关陆域，为特定船舶提供助航、导航服务或者保护特定设施等而设置的航标。( ) (沿海航标管理办法第2条)
",1
"2.灯船、大型浮标水线以上颜色为绿色。( ) (中国海区灯船和大型浮标制式4.1.1)
",0
"3.设置在灯船上的雷达应答器可以选用莫尔斯信号D码及U码。( ) (中国海区灯船和大型浮标制式4.3)
",0
"4.东方位标是设在危险物的西面，指示船舶不能从标的东侧通过。（ ）（中国海区水上助航标志5.2）
",0
"5.东方位标体为黑色，中间有一条S色宽横带，顶标为上下垂直两黑色锥形，锥底相对。（ ）（中国海区水上助航标志5.2）
",1
"6.西方位标是设在危险物的西面，指示船舶从标的西侧通过。（ ））（中国海区水上助航标志5.4）
",1
"7.右侧标设置于船舶从港口驶向外海方向的航道右侧。（ ）（中国海区水上助航标志4.2）
",0
"9.南方位标的标体上S下黑，顶标为上下垂直两黑色锥形，锥顶均向下。（ ）（中国海区水上助航标志5.3）
",1
"10.西方位标的标体为S色，中间有一条黑色宽横带，顶标为上下垂直两黑色锥形，锥顶相对。（ ）（中国海区水上助航标志5.4）
",1
"11.水中固标志的、顶标、灯质均须与相应浮标或灯浮标保持一致。（ ）（中国海区水上助航标志3.2）
",1
"12.航标按工作原理分，可分为目视航标、无线电航标和音响航标三类。（ ）
",1
"13.顶标是指在水上助航标志顶部的一个或者两个具有一定尺寸和特定形状及颜色的标志。（ ）（航标术语4.8.6）
",1
"14.交通部海事局负责组织编制全国沿海航标总体规划，报交通部批准。( ) (沿海航标管理办法第5条)
",1
"15.沿海航标管理机构负责本辖区范围内的沿海航标总体规划，报交通部批准。( ) (沿海航标管理办法第5条)
",0
"17.交通部海事局是全国海区航标动态通报的主管机关。（ ）(海区航标动态通报管理办法第三条)
",1
"18.航标设置单位完成航标设置后，应当由批准设置的航标管理机关对航标工作效能进行验收，验收合格的，方可正式投入使用。（ ）（海区航标设置管理办法第十三条）
",1
"19.从航行安全的需要和地方经济等综合方面考虑，航标管理机关没有权利责令专业单位设置航标。（ ）（海区航标设置管理办法第七条）
",0
"20.航标设计工作应当由按照国家规定取得航标涉及资格，并持有相应证书的单位承担。（ ）（海区航标设置管理办法第十条）
",1
"21.航标设置单位完成航标设置后，向航标管理机关申请，批准后投入使用，可不进行验收。（ ）（海区航标设置管理办法第十三条）
",0
"22.专用航标的设置、撤除、位置移动和其它状况改变，应当经航标管理机关同意。（ ）（中华人民共和国航标条例第6条）
",1
"23.编制沿海水域航标总体规划，应当与港口、航道发展规划和航运发展规划及其他发展规划相协调。（ ）（沿海航标管理办法第四条）
",1
"24.应急沉船示位标的标体纵向色条的着色为红白二色相间。( )（应急沉船示位标）
",0
"25.设置沿海航标，应当以经依法批准的沿海航标配布图和沿海航标配布方案为依据，做到标位准确，涂色鲜明，安装牢固，效能可靠。（ ）（沿海航标管理办法第十条）
",0
"26.航标管理机关设置、撤除航标或者移动航标位置以改变航标的其他状况时，应当及时通报有关部门。（ ）（中华人民共和国航标条例第八条）
",1
"27.第一类航标动态，预计在20天内不能恢复正常的，应申请发布第二类航标动态。（ ）(海区航标动态通报管理办法第七条)
",0
"28.第二类航标动态应在航标变动前不少于30天申请发布。（ ）(海区航标动态通报管理办法第九条)
",0
"29.航标设置、撤除、位置调整、航标损坏、灯质改变时发布第二类航标动态。（ ）(海区航标动态通报管理办法第四条)
",0
"30.海区航标动态通报管理办法适用于所有的航标，包括军用航标。（ ）(海区航标动态通报管理办法第二条)
",0
"31.提供和播发航标动态信息，可以适当收取成本费用。（ ）(海区航标动态通报管理办法第十一条)
",0
"32.在视觉航标技术测定时，其技术要求为闪光周期和节奏允许偏差在设计周期的±5%以内。（ ）（出处：海区航标效能验收规范  JT/T759-2009）
",1
"33.在对视觉航标技术测定内容中，在结构良好技术要求中，标志形状应无残缺，主体结构完好，顶标倾斜角度小于15°。（ ）（出处：海区航标效能验收规范  JT/T759-2009））答案应为：顶标倾斜角度小于10°
",0
"34.中华人民共和国航标条例适用于军用航标和渔业航标。（ ）（中华人民共和国航标条例第3条）
",1
"35.违反中华人民共和国航标条例，危害军用航标及其辅助设施或影响军用航标工作效能，应当处以罚款的，由军队的航标管理机构处罚。（ ）（中华人民共和国航标条例第23条）
",0
"36.沿海航标管理办法适用于军用航标和渔业航标。( ) (沿海航标管理办法第2条)
",0
"37.配布沿海航标应当符合国家有关技术标准，并通过技术经济论证确定。( ) (沿海航标管理办法第7条)
",1
"38.航标的管理和保护，实行统一管理，分级负责和专业保护与群众保护相结合的原则。（ ）（中华人民共和国航标条例第四条）
",1
"39.船舶触碰航标不报告的，航标管理机关可以根据情节处以2万元以下的罚款；造成损失的，应当依法赔偿。（ ）（中华人民共和国航标条例第二十一条）
",1
"40.航标背景是指观察者观察航标时所见到的航标前后的地物、地貌、水面、空际、灯光等景象。（ ）（航标术语3.1.16）
",0
"41.通航净空是指通航净高及净宽的总称。（ ）（航标术语3.2.5）
",1
"42.沿岸通航带是指通航分道区中向陆地一侧的边界线与相邻海岸间的供船舶抛锚使用的指定水域。（ ）（航标术语3.2.12）
",0
"43.为航标及其管理人员提供能源、水及其他所需物资而设置的各类设施称为航标助航设施。（ ）（中华人民共和国航标条例第十六条）
",0
"44.船舶触碰航标，应当立即向航标管理机关报告。（ ）（中华人民共和国航标条例第14条）
",1
"45.对于危害航标安全或者损害航标工作效能的行为，任何单位和个人都有权制止.检举和控告。（ ）（中华人民共和国航标条例第5条）
",1
"46.海区航标设置管理办法不适用于军用航标和渔业航标。（ ）（海区航标设置管理办法第2条）
",1
"47.同一桥梁上可安装一座或多座雾号警示航行船舶。（ ）（中国海区可航行水域桥梁助航标志）
",1
"48.灯船名称在灯船的两侧舷钣的中部，水线以上，用白漆自左至右定写仿宋体汉字，并在其下定写汉语拼音。( ) (中国海区灯船和大型浮标制式4.1.3)
",1
"49.大型浮标名称在上层建筑的相对两侧，用白漆自上而下或自左至右定写仿宋体汉字.汉语拼音或缩写符号.代号。( ) (中国海区灯船和大型浮标制式4.1.3)
",1
"50.灯船是具有船型，标本港口口门、重要转向点等特定水域，供船舶测定船位和确定航向的浮动助航标志( ) (中国海区灯船和大型浮标制式3.1)
",1
"52.当航标管理机关认为某一新危险物严重危及船舶航行安全时，应尽快设置标示它的标志。这些标志可以是方位标志或侧面标志。（ ）（中国海区水上助航标志9.2）
",1
"53.外国籍船舶经中华人名共和国政府批准后，可以进入中华人名共和国领海。（ ）（中华人民共和国海上交通安全法第十一条）
",1
"54.主管机关按照国家规定，负责统一发布航行警告和航行警告。（ ）（中华人民共和国海上交通安全法第二十九条）
",1
"55.损害助航标志或导航设施的，应接受刑事处罚。（ ）（中华人民共和国海上交通安全法第二十三条）
",0
"56.发现航标损坏、失常、移位、漂失的单位和个人应当及时向当地海事执法部门报告。（ ）(海区航标动态通报管理办法第八条)
",0
"57.交通部海事局按照沿海航标管理办法规定的职责负责沿海航标的有关管理工作。（ ）（沿海航标管理办法第三条）
",1
"58.导标标身（标牌）的外形轮廓应保持在沿导标轴线观察时具有明显的形状特征。（ ）(水运工程导标设计规范7.0.2)
",1
"59.沿海和通航河流上设置的助航标志必须符合当地基础建设规定标准。（ ）(中华人民共和国航道管理条例第二十一条)
",0
"60.军事单位划定、改变或者撤销军事禁航区、军事训练区，由国家主管机关或者区域主管机关发布海上航行警告.航行通告。（ ）(中华人民共和国海上航行警告和航行警告通告管理规定第五条)
",1
"61.在内河通航水域中拖放竹、木等物体，应当在拖放前48小时报海事管理机构同意。（ ）（内河交通安全管理条例第四十三条）
",0
"62.锚链中的末端卸扣应以卸扣本体和末端链环连接，其横稍连于浮标的下吊环或者沉石（锚）的吊环上。（ ）（浮标锚链2.10）
",1
"63.制定沿海航标管理办法的依据是中华人民共和国海上交通安全法和中华人民共和国航标条例。( ) (沿海航标管理办法第1条)
",1
"64.禁止在航标周围10米内或者在埋有航标地上管道、线路的地面钻孔、挖坑、采掘土石、堆放物品或者进行明火作业等影响航标工作效能的行为。（ ）（中华人民共和国航标条例第十七条）
",0
"65.危害军用航标及其辅助设施或者影响军用航标工作效能，应当处以罚款的，由军队的航标管理机构处罚。（ ）（中华人民共和国航标条例第二十三条）
",0
"66.港口内有关行政管理机构办公设施的建设应当符合港口总体规划，建设费用由港口经营人分担。（ ）(中华人民共和国航道管理条例实施细则第二十八条)
",0
"67.海上航行通告由国家主管机关或者区域主管机关以书面形式或者通过报纸、广播、电视等新闻媒介发布。（ ）(中华人民共和国海上航行警告和航行警告通告管理规定第四条)
",1
"68．交通运输部航保中心负责沿海航道航标建设养护。交通运输部设立了北海、东海、南海三个航海保障中心，为直属事业单位，主要承担辖区范围内航标建设养护、港口航道测量绘图、水上通信等技术支持和服务保障职责。（《中华人民共和国航道法释义》）  （     ）
",1
"69．在通航水域上建设桥梁等建筑物，建设单位应当按照国家有关规定和技术要求设置航标等设施，并承担相应费用。桥区水上航标由负责航道管理的部门、海事管理机构负责管理维护。（《航道法》第三十四条）  （    ）
",1
"70．自中华人民共和国境外港口进入境内港口的船舶，应当缴纳船舶吨税。（   ）
",1
"1、管理机关应每月一次安排巡检，用船用雷达从距离应答器1-5海里的范围开始，至应答器规定的最大作用距离为止，对应答器进行扫描检测。（ ）（出处：航标法规标准汇编P60）
",0
"2、有人看守的应答器，应每天检测一次其工作状态；无人看守的应答器，每月检测应不少于一次，或按巡检周期进行。（ ）（出处：航标法规标准汇编P60）
",1
"3、雷达应答器还必须有一个功能叫付瓣抑制，就是去消除付瓣产生的影响。雷达应答器的大量工作就是抑制付瓣。（ ）（出处：航标法规标准汇编P60）
",1
"4、搜救雷达应答器的发射频率为扫频式，若将其震荡器频率调偏，可屏蔽其他物标的回波。（ ）（出处：航标法规标准汇编P60）
",1
"5、雷达应答器（Radar beacon = RACON雷康）,也称雷达信标。是实现船舶导航信息化的重要设施之一。（ ）（出处：航标法规标准汇编P60）
",1
