question,answer
"6、船用雷达有两个工作波段，均为200MHz的带宽。（ ）（出处：航标法规标准汇编P60）
",1
"7、雷达应答器的基本工作原理和船用雷达基本一样，工作方式与雷达也相同。（ ）（出处：航标法规标准汇编P60）
",0
"8、航标上设置雷达应答器编码使用莫尔斯码，要求以长划“―”开头。（ ）（出处：航标法规标准汇编P60）
",1
"9、灯桩、导标和立标巡检补给时，作业人员应着救生衣或系安全带、戴安全帽。( )（海区航标作业管理规则10.2）
",1
"10、巡检补给时，发现浮身、顶标等有损坏现象，应及时修复。不能修复时，应及时更换。( )（海区航标作业管理规则11.5）
",1
"11、卸扣的孔眼、横栓、开口销或销钉及旋转环的旋转部分应涂漆。（ ）（海区航标作业管理规则13.3）
",0
"12、锚链的热处理应在拉力试验和拉断试验之前进行。（ ）（浮标锚链7.5.2）
",1
"13、为预防系链因浮标转动而发生连接扭结而设，可在水中自由旋转的系链组件是旋转环。（ ）
",1
"14、三眼环是灯船或大型浮标双锚泊时连接锚链用的三孔大铁环。（ ）
",1
"15、当地海事局应根据有关的法律法规负责协助辖区航标处追索应急设标、清污等费用。( )（海区航标应急反应管理办法(试行)第十九条）
",1
"16、应急设标任务完成后，辖区航标处应及时向当地海事局通报。当地海事局应立即发布第二类航标动态既航行通告。（ ）（海区航标应急反应管理办法(试行)第二十条）
",0
"17、海区航标管理机构负责海区历史灯塔保(维)护工作的检查监督和一般事项的审批。( )（中国海区历史灯塔保护管理办法(暂行)第三条）
",1
"18、辖区航标管理机构均应建立历史灯塔标志说明。( )（中国海区历史灯塔保护管理办法(暂行)第八条）
",1
"19、历史灯塔所用的灯器发光和能源设备，因陈旧无法正常工作或达不到规定的助航性能必须更新时，原有设备应妥为保存完整，报经海区航标管理机构批准同意后可作为陈列展品，也可委托本地区文物部门或中国航标展馆代为收藏。( )（中国海区历史灯塔保护管理办法(暂行)第8.6条）
",1
"20、历史灯塔区内可新建架空线，新建的架空线应当有计划地改建入地。（ ）（中国海区历史灯塔保护管理办法(暂行)第8.8条）
",0
"21、历史灯塔区内的消防通道应当按照公安消防部门的规定予以完善、疏通，并制定相当的防火安全措施。( )（中国海区历史灯塔保护管理办法(暂行)第8.9条）
",1
"22、历史灯塔的管理单位不得在灯塔建筑内堆放易燃、易爆和腐蚀性的物品，不得从事损坏建筑主体承重结构或其他危害建筑安全的活动。( （中国海区历史灯塔保护管理办法(暂行)第8.7条）
",1
"23、历史灯塔的开发利用必须报经当地文物部门批准，保证历史灯塔及其附属设备和建筑的安全，不得损坏。（ ）（中国海区历史灯塔保护管理办法(暂行)第9条）
",0
"24、当地文物保护部门每年按照各历史灯塔的等级对历史灯塔核拨年度保(维)护经费。（ ）（中国海区历史灯塔保护管理办法(暂行)第10条）
",0
"25、海区航标管理机构负责管辖范围内历史灯塔保护有关规定、细则的制定，重大事项的审批，历史灯塔的等级评估及对外公布。（ ）（中国海区历史灯塔保护管理办法(暂行)第3条）
",0
"26、计算灯塔灯光高度是以平均大潮高潮面为基准面。（ ）（北方海区航标管理――视觉航标）
",1
"27、灯塔灯光因故需提前或推迟开闭，灯塔值班员可自行操作并记录于灯塔值班日志。（ ）（海区航标作业管理规则5.3.2）
",0
"28、灯塔值班员应每日观察气象情况，按时守听气象预报，并记录于灯塔值班日志。（ ）（海区航标作业管理规则5.3.9）
",1
"29、以市电为主供电的无人值守灯塔，采用蓄电池浮充供电，应配置足够容量的蓄电池。（ ）（航标法规标准汇编――固定建（构）筑物维护管理）
",1
"30、重要的灯塔、导标和有人灯船的可用性超过0.95。（ ）（出处：法规汇编――航标固定建筑物维护）
",0
"31、灯塔应每周开展安全日活动，学习安全生产知识，总结安全工作经验教训，并将活动内容记入安全活动记录簿。（ ）（出处：法规汇编――航标固定建筑物维护）
",1
"32、灯塔应根据实际条件制定具体消防措施，每月组织一次消防演练，并记录于安全活动记录簿。（ ）（出处：法规汇编――航标固定建筑物维护）
",0
"33、灯塔旋转机械每年加油润滑一次，每三年检修一次。（ ）（出处：法规汇编――航标固定建筑物维护）
",0
"34、灯塔灯器前后透镜表面应每月以纯酒精擦拭一次，每年以200号细颗粒研磨剂抛光一次。（ ）（出处：法规汇编――航标固定建筑物维护）
",1
"35、A类一级灯塔生活用房总建筑面积应不大于210平方米。（ ）（灯塔主体及附属设施设置要求5.2.3）
",0
"36、塔身高度大于30米的有人值守灯塔可增设小型载人电梯。（ ）（灯塔主体及附属设施设置要求4.4）
",1
"37、采用封闭式防护灯壳的灯器，灯塔可不设灯笼。（ ）（灯塔主体及附属设施设置要求4.8）
",1
"38、塔身高度是指灯塔基础上平面至灯笼顶部之间的高度。（ ）（灯塔主体及附属设施设置要求2.2.1）
",0
"39、有人值守灯塔至少配备1座蓄水池。（ ）（灯塔主体及附属设施设置要求8.1.5）
",0
"40、无人值守的灯塔可不配备蓄水池。（ ）（灯塔主体及附属设施设置要求8.1.6）
",0
"41、水中固定标志不需要编号。（ ）（海区航标作业管理规则）
",0
"42、用于水中固定标志的顶标，其顶标的大小应小于同一水域所设浮标的顶标。（ ）（出处：法规汇编――航标固定建筑物维护）
",0
"43、以柴油机发电系统供电的有人值守灯塔，可配备一台柴油发电机组。（ ）（出处：法规汇编――航标固定建筑物维护）
",0
"44、海区航标固定建（构）筑物的不定期维护是指在遇台风等自然灾害和其他意外情况后，应做检查和维护。（ ）（航标法规标准汇编――固定建（构）筑物维护管理）
",1
"45、视觉航标包括灯塔、灯桩、导标、立标、灯船、灯浮标、浮标等。（ ）（北方海区航标管理――视觉航标）
",1
"46、视觉航标应作为海港的基本设施，海港必须设置完善的视觉航标系统，无线电助航设施应根据船舶航行需要和港口具体条件设置，影响航标一般作为辅助性的助航设施选用。（ ）（北方海区航标管理――航标设置）
",1
"47、计算山体（陆地）高度是以平均海面为基准面。（ ）（北方海区航标管理――视觉航标）
",1
"48、导标轴线设计应使用最新测绘的海图或航道图，比例尺一般不大于1/10000。（ ）（航标法规标准汇编――港口技术规范）
",0
"49、导标的设计偏离量是指船舶离导标轴线航行时，离导标轴线容许的偏差量。（ ）（航标法规标准――港口技术规范）
",0
"50、前标标顶设计高程应不小于计算的前标标顶最小高程，根据具体情况可适当加大。（ ）（航标法规标准汇编――港口技术规范）
",1
"51、根据IMO船舶定线制规定，环形航道按逆时针方向航行（ ）。（出处：航标实用手册P15）
",1
"52、根据IMO船舶定线制规定，安全水域标可设在分隔带或分隔线上。（ ）（出处：航标实用手册P15）
",1
"53、灯器安装使用前应经试运行，新灯器应连续正常运行72小时，修复灯器应连续正常运行24小时。（ ）（出处：法规汇编――航标固定建筑物维护）
",0
"54、同一距离的航标灯，绿色和红色看起来距离不一样，绿色的看起来远，红色的看起来近（ ）（出处：视觉航标基础理论P76）
",1
"55、牛眼透镜是由内壁圆筒形的平凹镜、折射菱镜圈和（或）折反菱镜圈组成的环射式透镜。（ ）（出处：航标光声学P278）
",0
"56、当光束通过菲涅耳透镜时，波阵面是连续的，成像的质量较高。（ ）（出处：航标光声学P264）
",0
"57、大型浮标是具有圆柱形，浑身直径及灯光焦面高度均大于8m，标示港口口门，重要转向点等特定水域，供船舶测定船位，确定航向或为专用目的设置的浮动标志。（ ）（中国海区灯船和大型浮标制式3.2）
",0
"58、灯船、大型浮标水线以上颜色为红色。( ) (中国海区灯船和大型浮标制式4.1.1)
",1
"59、航标效能验收活动分为技术测定和评估两个部分。（ ）（海区航标效能验收规范）
",1
"60、当航标管理机关人为某一新危险物严重危及船舶航行安全时，应尽快设置标示它的标志。这些标志可以使方位标志或侧面标志。（ ）
",1
"61、在一个周期中明的持续时间不少于2S的单闪光是长闪光。（ ）
",1
"62、在一个周期中明的时间之和比暗的时间之和长，且暗的时间是相等的有节奏、不变色的灯光是顿光。（ ）
",1
"63、孤立危物标志灯质为联闪2次白光周期5秒（ ）
",1
"64、北方位标设在危险物或危险区的北方，船舶应在本标的北方通过。( ) （GB4696）
",1
"65、安全水域标设在航道中央或航道的中线上，标示其周围均可航行水域；也可代替方位标或侧面标指示接近陆地。( ) （GB4696）
",1
"66、桥孔禁航标志的灯质为黄色，莫p12s。( ) （中国海区可航行水域桥梁助航标志 4.4.2） 
",1
"67、我国出版的海图标示的水深为理论深度基准面至该点海底的深度( ）
",1
"1.按海图形式，将海图分为纸质海图、数字海图二种。（ ）
",0
"2.各种礁石采用相同的基准面，即理论最低潮面。（ ）
",0
"3.习惯上将海图的地理要素分成海域要素和陆地要素两大类。（ ）
",1
"4.大圆海图的投影方法是属外射平面投影。（ ）
",0
"5.从狭义角度上来讲，电子海图就是指电子海图数据。（ ）
",1
"6.英版海图图式中，缩写“LANBY”代表大型助航浮标。（ ）
",1
"7.非标准电子海图由于不是官方海道测量机构制作的，其数据权威性不能得到保证。（ ）
",1
"8.利用等高线识别物标时，草绘间断线不说明高程但反映山形，应加以利用。（ ）
",0
"9.电子海图显示及信息系统是指符合IMO、IHO和IEC有关国际标准的船用电子海图系统。（ ）
",1
"10.单一物标方位距离定位中，精度最高的方法是利用六分仪测距和罗经方位定位。（ ）
",1
"11.国际海道测量组织是制定电子海图标准的唯一组织。（ ）
",0
"12.我国采用理论最低潮面作为法定深度基准面。（ ）
",1
"13.我国陆地采用1985年国家高程基准。（ ）
",1
"14.确定深度基准面的原则只需要考虑船舶航行的安全。（ ）
",0
"15.舷角是船首尾线至物标方位线的夹角。（ ）
",1
"16.海水受到月球和太阳的吸引力而使海水产生的上升下降运动叫做潮汐。（ ）
",0
"17.在潮汐升降的每一周期中，当水面降至不能再下降时，叫做低潮或干潮。（ ）
",1
"18.相邻高潮和低潮的水位高度差叫做潮差。高潮与前一个低潮的潮差叫涨潮差。（ ）
",1
"19.利用船位识别物标的关键是船舶的航行不受风流影响。（ ）
",0
"20.涨潮所经历的时间叫涨潮历时。（ ）
",1
"21.天体真出没是指天体中心通过测者视地平的瞬间。（ ）
",0
"22.月球经过其子午圈时刻叫月中天。月球每天经过观测者子午圈两次。一次通过观测者地面上的子午圈，称“月上中天”；另一次通过观测者地面下的子午圈，称“月下中天”。（ ）
",1
"23.由于潮汐主要是月球引潮力产生的，因此月中天时刻就是高潮时间。（ ）
",0
"1.无线电航标包括雷达指向标，雷达应答器.罗兰C ，全球定位系统（GPS），差分全球定系统（DGPS），全球导航星系统（GLONASS）等。（ ）
",1
"2.伪距差分GPS是目前广泛应用的一种差分技术，国际海事组织（IMO）为此制定了RTCM SC-104差分校正电文格式，推荐使用。（ ）
",0
"3.在差分卫星定位系统中，基准台提供视界内所有跟踪卫星的伪距校正量，用户可接收其中任意4颗卫星的校正量进行校正，不存在选星是否相同的问题，校正灵活。（ ）
",1
"4.GDOP表达了用户位置及用户钟与误差之间的关系，GDOP的数值越小，表明选用的卫星的几何图形配置越理想，使位置和时间的偏差值也相应减小。（ ）
",1
"5.GPS是通过比较卫星钟和用户接收机的时钟来测距的，时钟的误差将直接变成测距误差，主要包括：时钟漂移.时种的相对论效应。（ ）
",1
"6.用户设备误差主要包括接收机噪声.量化误差和接收机通道间偏差。（ ）
",1
"7.X频段雷达应答器工作于垂直极化方式。（ ）
",0
"8.雷达应答器摩尔斯码“D”用于危险物标志的标示。（ ）
",1
"9.雷康的海上作用距离主要取决于雷康的高度和询问雷达的高度。（ ）
",1
"10.AIS系统的主要作用是提高船舶定位精度。（ ）
",0
"11.AIS将使船舶之间.船岸之间进行有效的数据交换，因此将提高航行的安全性。（ ）
",1
"12.差分GPS作用主要是提高接收卫星的效率。（ ）
",0
"13.AIS基站覆盖范围外AIS船舶之间无法进行通信（ ）
",0
"14.DGPS定位精度与台站距离有关（ ）
",1
"15.差分GPS电文15是备用电文（ ）
",1
"16.卫星识别可以用不同的标识方法，如发射序号，伪码编号，轨道位置号和国际命名等（ ）
",1
"17.GPS卫星能源由太阳能电池提供（ ）
",1
"18.DGPS参考站无须接收卫星信号生成改正数（ ）
",0
"19.消除SA影响唯一的方法是利用密匙自动消除。（ ）
",0
"20.RBN/DGPS主要由基准台.播发台.完好性监控台和监控中心组成。（ ）
",1
"21. AIS采用的时间基准是UTC，该时间标准比北京时间快８个小时。（ ）
",0
"22.差分定位技术对提高定位精度无帮助，只是保证接收信号稳定（ ）
",0
"23.无线电航标和音响航标应根据船舶航行需要和近海干线或海港的具体条件，在重要的转向点，港口口门.人工航槽或狭窄航道，警戒危险障碍物等关键部位设置。（ ）
",1
"24.RBN-DGPS 台站采用北京时间。（ ）《沿海无线电指向标一差分全球定位系统播发标准》（7T 377-1998）中6.6）
",1
"25.DGPS接收机在没有差分信号的情况下不能进行定位（ ）
",0
"26.AIS的主要用途是提高海上航行的安全和效率,加强海上人命安全,保护海洋环境。（ ）
",1
"27.AIS船舶静态信息报告率每6分钟1次或当数据被修改或接收到请求时报告（ ）
",0
"28.AIS船舶动态信息与航速和载重量有关（ ）
",0
"29.自主模式下当AIS船舶航速大于23节时，其信息更新间隔为2秒（ ）
",1
"30.AIS基站对每个接收到的VDL信息应不对内容作任何处理，以VDM语句传送至PI（ ）
",1
"31.船台MMSI不是唯一的（ ）
",0
"32.在AIS岸基站技术测定内容中，其验收标准包括信号准确、功率正常、工作连续。（ ）（出处：海区航标效能验收规范  JT/T759-2009）
",1
"33.在雷达应答器技术测定内容中，其验收标准包括编码准确、信号正常、工作连续。（ ）（出处：海区航标效能验收规范  JT/T759-2009）
",0
"34.AIS航标分为3种类型，分别为1型AIS航标、2型AIS航标、3型AIS航标。（ ）（出处：自动识别系统（AIS）航标应用导则 JT/T 1193―2018）
",1
"35.按照使用时间分类，虚拟AIS航标可分为临时虚拟AIS航标和永久虚拟AIS航标。（ ）（出处：自动识别系统（AIS）航标应用导则 JT/T 1193―2018）
",1
"36.差分全球卫星导航系统的缩略语为DGPS。（ ）（出处：自动识别系统（AIS）航标应用导则 JT/T 1193―2018）
",0
"37.AIS实体航标是设置在实体航标上，且使用AIS 6号电文播发该航标相关信息的装置（ ）（出处：自动识别系统（AIS）航标应用导则 JT/T 1193―2018）
",0
"39、布设水中标志上的雷达应答器应选用短程雷达应答器，天线选用全向天线。（ ）
",1
"40、雷达应答器是一种专门用于助航的设备，其频段被分配在X和S两个船用雷达波段，而且当前大多数雷达应答器都工作在S波段。（ ）
",0
"41、工作在危险水域雷达应答器的发射时间不超过25微秒（脉冲长度约2海里），锁定时间50---100微秒，最小的锁定时间为10微秒，以防止雷达应答器自身的发射波在附近反射而触发自己。（ ）
",1
"42、雷达应答器布设完毕后，应进行实际拉测，并做好拉测记录及建档工作。（ ）
",1
